,Ticker,Shares
1,OXY,10896.637971322074
2,SLB,7626.601870342182
3,COP,693.0967621712322
4,COF,319.38680229169387
5,AIG,849.4733177288929
6,SPG,302.22436691336765
7,AXP,275.7859854294979
8,BAC,1052.853195047818
9,USB,822.6390425172433
10,BK,833.4722220544182
